uid,cost,emissions,EL_Transport
S-30,1695.5560652020001,2700.0000004508825,10.178281768790658
S-0,2038.0543029981038,706.8470188204005,11.828234580900693
S-10,1862.647282617785,1410.0000046083449,13.910935233566043
S-60,1611.3228668218344,4239.999999991599,11.628829961964865
S-40,1685.013078108965,2830.000000066763,11.2870653022033
S-BAU,2353.8814978198156,1.3899909747267826e-05,10.137504289975947
S-90,1572.8687091405952,5649.999999979251,11.458377277127026
S-50,1641.348013742544,3529.9999999930924,12.073049060590877
S-70,1589.6791018228344,4949.999999988918,11.458373388228269
S-20,1756.7533975568037,2120.000002166408,10.253657753704308
S-80,1578.745703396183,5389.99999997923,11.472022470841758
