uid,cost,emissions,EL_Transport
S-30,155.5927817638527,487.3861810133187,11.894508545884836
S-0,182.48626477960315,162.4620612311213,14.23413741175466
S-10,163.81391439145125,324.9241214483,13.63036830676212
S-60,152.8463353639207,668.7870373208611,10.397973477874256
S-40,152.8708332069697,649.848241944074,10.491846292155087
S-BAU,240.72247859617383,9.95809098595577e-06,14.287253426717275
S-90,152.84634228234634,668.7815456040677,10.398001093685357
S-50,152.8463352487337,668.7835592527617,10.397992288847329
S-70,152.8463355755886,668.7829800210575,10.397995723719328
S-20,158.83377393703995,405.3842830992056,13.052944682896202
S-80,152.84634016099952,668.785828514284,10.397978647766509
