Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,existing_capacity,existing_capacity_unit,location_name,description,minimum_size,maximum_size,note
0,"1.129707692,1.12,1.12,1.1195,1.1165,1.1063,1.1065,1.1032,1.0978,1.097,1.0935,1.08,1.07962,1.07932,1.07736,1.076,1.07325,1.071,1.068,1.061,1.0585,1.05,1.04862,1.04578,1.0365,1.0,0.8,0.7,0.5,0.3",G$/GWp,175200,h,PVOUT,24,0,6.695,GWp,MX,first,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20",30_years
1,0,G$/GWp,175200,h,PVOUT,24,0,84.33631887,GWp,MX,2030,,,
2,0,G$/GWp,175200,h,PVOUT,24,0,130.3147312,GWp,MX,2040,,,
3,0,G$/GWp,175200,h,PVOUT,24,0,176.2931434,GWp,MX,2050,,,
4,0,G$/GWp,175200,h,PVOUT,24,0,45.9334,GWp,US,first,,,
5,0,G$/GWp,175200,h,PVOUT,24,0,45.9334,GWp,US,2030,,,
6,0,G$/GWp,175200,h,PVOUT,24,0,45.9334,GWp,US,2040,,,
7,0,G$/GWp,175200,h,PVOUT,24,0,45.9334,GWp,US,2050,,,
8,0,G$/GWp,175200,h,PVOUT,24,0,3.229,GWp,CL,first,,,
9,0,G$/GWp,175200,h,PVOUT,24,0,3.229,GWp,CL,2030,,,
10,0,G$/GWp,175200,h,PVOUT,24,0,3.229,GWp,CL,2040,,,
11,0,G$/GWp,175200,h,PVOUT,24,0,3.229,GWp,CL,2050,,,
